"date","lip","lcpi","lpcom","unemp","ffr","gs1","ebp","shock_wieland","lip_lag1","lip_lag2","unemp_lag1","unemp_lag2","lcpi_lag1","lcpi_lag2","lpcom_lag1","lpcom_lag2","ffr_lag1","ffr_lag2","shock_wieland_lag1","dep_lead","shock_bauer","shock_bs_lag1","shock_bauer_lag1","shock_bauer_lag2"
2015-05-01,4.61281588301364,5.46806436053551,526.476058301919,5.6,0.12,0.24,6.14,NA,4.61735070139726,4.62288141214245,5.4,5.4,5.46477204083146,5.46373010493908,525.17497307317,525.48878086207,0.12,0.11,0.02648,4.62905857283659,0,0.0220191261240318,0.0220191261240318,-0.0513829080812921
2015-06-01,4.6097476931978,5.47082845770723,527.197339120843,5.3,0.13,0.28,6.73,-0.53635,4.61281588301364,4.61735070139726,5.6,5.4,5.46806436053551,5.46477204083146,526.476058301919,525.17497307317,0.12,0.12,NA,4.63027734678782,-0.0505865154278684,0,0,0.0220191261240318
2015-07-01,4.61600428461929,5.47241352061122,526.734256224861,5.2,0.13,0.3,6.99,-0.47965,4.6097476931978,4.61281588301364,5.3,5.6,5.47082845770723,5.46806436053551,527.197339120843,526.476058301919,0.13,0.12,-0.53635,4.62502869407585,0.0227717792385686,-0.0505865154278684,-0.0505865154278684,0
2015-08-01,4.61429344223606,5.47240931952188,525.697440301365,5.1,0.14,0.38,7.34,NA,4.61600428461929,4.6097476931978,5.2,5.3,5.47241352061122,5.47082845770723,526.734256224861,527.197339120843,0.13,0.13,-0.47965,4.63260440279842,0,0.0227717792385686,0.0227717792385686,-0.0505865154278684
2015-09-01,4.61148023568411,5.47015920238661,524.227597566441,5,0.14,0.37,8.09,-5.80207,4.61429344223606,4.61600428461929,5.1,5.2,5.47240931952188,5.47241352061122,525.697440301365,526.734256224861,0.14,0.13,NA,4.62947345450121,-0.0324595999531352,0,0,0.0227717792385686
2015-10-01,4.60673196577489,5.47114819518865,523.377884541047,5,0.12,0.26,7.5,-0.13651,4.61148023568411,4.61429344223606,5,5.1,5.47015920238661,5.47240931952188,524.227597566441,525.697440301365,0.14,0.14,-5.80207,4.6209234491942,0.066064254172426,-0.0324595999531352,-0.0324595999531352,0
2015-11-01,4.59952025514567,5.472342099692,522.413246835866,5.1,0.12,0.48,8.13,NA,4.60673196577489,4.61148023568411,5,5,5.47114819518865,5.47015920238661,523.377884541047,524.227597566441,0.12,0.14,-0.13651,4.62643644753126,0,0.066064254172426,0.066064254172426,-0.0324595999531352
2015-12-01,4.59458536388792,5.47126596744249,521.221466749462,5,0.24,0.65,8.76,2.62673,4.59952025514567,4.60673196577489,5.1,5,5.472342099692,5.47114819518865,522.413246835866,523.377884541047,0.12,0.12,NA,4.62440500505286,0.0422759111798042,0,0,0.066064254172426
2016-01-01,4.59954539647767,5.47080741876204,520.729796816087,4.8,0.34,0.54,9.19,-0.13318,4.59458536388792,4.59952025514567,5,5.1,5.47126596744249,5.472342099692,521.221466749462,522.413246835866,0.24,0.12,2.62673,4.61845356990485,-0.00422934755764988,0.0422759111798042,0.0422759111798042,0
2016-02-01,4.59434379150322,5.4694768586358,520.015311776081,4.9,0.38,0.53,9.08,NA,4.59954539647767,4.59458536388792,4.8,5,5.47080741876204,5.47126596744249,520.729796816087,521.221466749462,0.34,0.24,-0.13318,4.62174997846791,0,-0.00422934755764988,-0.00422934755764988,0.0422759111798042
2016-03-01,4.58663445583871,5.47260675164473,520.455598673356,5,0.36,0.66,8.37,-1.55858,4.59434379150322,4.59954539647767,4.9,4.8,5.4694768586358,5.47080741876204,520.015311776081,520.729796816087,0.38,0.34,NA,4.58093896693935,-0.0810179563285228,0,0,-0.00422934755764988
2016-04-01,4.58982809568882,5.47643007856794,521.057845224003,5.1,0.37,0.56,7.58,0.07497,4.58663445583871,4.59434379150322,5,4.9,5.47260675164473,5.4694768586358,520.455598673356,520.015311776081,0.36,0.38,-1.55858,4.43889361716295,0.00385640997408056,-0.0810179563285228,-0.0810179563285228,0
2016-05-01,4.5875651222793,5.47879138435909,522.197613329131,4.8,0.37,0.59,7.4,NA,4.58982809568882,4.58663445583871,5.1,5,5.47643007856794,5.47260675164473,521.057845224003,520.455598673356,0.37,0.36,0.07497,4.45447286976417,0,0.00385640997408056,0.00385640997408056,-0.0810179563285228
2016-06-01,4.59240404445842,5.48156349579313,523.431203657212,4.9,0.38,0.55,7.32,-0.29879,4.5875651222793,4.58982809568882,4.8,5.1,5.47879138435909,5.47643007856794,522.197613329131,521.057845224003,0.37,0.37,NA,4.51824425989288,-0.037190644342058,0,0,0.00385640997408056
